ID,name,uuid,text
home_activity,announcement_umatter_ureporters_vid,1b32180f-0d6b-4a7c-b73b-8ae2a0f31787,"You’re doing great towards your goal, {{1}}. Were you able to {{2}}?

Press a number on your keypad:
1. Yes
2. Not yet"
first_module_intro,missing,6286bf8c-f533-4823-9e2d-0cfddb63ee9f,"It’s time to get started on your goal, {{1}}. Are you ready?

Press a number on your keypad:
1. Yes!
2. Remind me tomorrow"
start_started_mod_or_change_goal,missing,6286bf8c-f533-4823-9e2d-0cfddb63ee9f,"You're almost finished with this goal! {{1}} What would you like to do?

Press a number on your keypad:
1. {{2}}
2. Leave this goal unfinished and select a new goal"
unfinished_onboarding,missing,6286bf8c-f533-4823-9e2d-0cfddb63ee9f,"ParentText has begun. Are you ready to complete your registration and select your parenting goals?

Press a number on your keypad:
1. Yes
2. Remind me Later"
select_goal,missing,6286bf8c-f533-4823-9e2d-0cfddb63ee9f,"You have made great progress. Are you ready to select your next parenting goal?

Press a number on your keypad:
1. Yes
2. Remind me Later"
no_response,missing,6286bf8c-f533-4823-9e2d-0cfddb63ee9f,"These messages don’t seem to be working. When you are ready to keep going, press 1. "